"","api","sampler","distance","Well.Name","Well.Number","Lease.Name","Operator.Alias..Legacy.","Operator.Company.Name","Operator..Reported.","Operator.Ticker","Field","County.Parish","DI.Basin","DI.Play","DI.Subplay","Formation.at.Total.Depth","Target.Formation","Producing.Reservoir","Elevation","Elevation.Type","Ground.Elevation","Measured.Depth..TD.","True.Vertical.Depth","Production.Type","Well.Status","Producing.Entity.Count","Producing.Entity.ID","Producing.Entity.Type","Producing.Entity.Lease.Number","Spud.Date","Completion.Date","Drill.Type","Upper.Perforation","Lower.Perforation","Gross.Perforated.Interval","Horizontal.Length","DI.Lateral.Length","First.Prod.Date","Last.Prod.Date","Months.Produced","Start.Date..First.Treatment.Job.","End.Date..First.Treatment.Job.","First.Test.Gas.Volume","First.Test.Oil.Volume","First.Test.Water.Volume","First.Test.Hours.Tested","First.Test.Production.Method","First.Well.Test.Date","First.Reported.Test.Type","Last.Well.Test.Date","Last.Test.Type","Peak.BOE","Peak.BOE.Month.No.","Peak.Gas","Peak.Gas.Month.No.","Peak.Oil","Peak.Oil.Month.No.","Peak.MMCFGE","Peak.MMCFGE.Month.No.","Peak.BOE.per.perforated.Ft","Peak.Gas.per.perforated.Ft","Peak.Oil.per.perforated.Ft","Cum.BOE","Cum.Gas","Cum.Oil","Cum.Water","Cum.GOR","Cum.BCFGE","Cum.MMCFGE","Latest.Gas","Latest.Oil","Latest.Water","Latest.GOR","X2nd.Month.GOR","First.6.BOE","First.6.Gas","First.6.Oil","First.6.Water","First.6.BOE.per.perforated.Ft","First.6.Gas.per.perforated.Ft","First.6.Oil.per.perforated.Ft","First.12.BOE","First.12.Gas","First.12.Oil","First.12.Water","First.12.MMCFGE","First.12.BOE.per.perforated.Ft","First.12.Gas.per.perforated.Ft","First.12.Oil.per.perforated.Ft","Last.12.Gas","Last.12.Oil","Last.12.Water","AAPG.Geologic.Province","Play.Assessment.Basin","State","Section","Township","Range","Quarter.Quarter","District","Abstract","Block","Survey","Shallowest.Perforation","Deepest.Perforation","Gross.Perforated.Interval..Multiple.Prod.Entities.","Oil.Gatherer","Gas.Gatherer","Oil.Gravity","Gas.Gravity","lat.w","lon.w","Bottom.Hole.Latitude..WGS84.","Bottom.Hole.Longitude..WGS84.","V1.w","V2.w","lon.s","lat.s","V1.s","V2.s","2.5km"
"1",30015200100000,"Carlsbad #2",2136.30050993711,"FORNI","001","FORNI","MEWBOURNE OIL","MEWBOURNE OIL","MEWBOURNE OIL CO","","CARLSBAD","EDDY (NM)","DELAWARE","DELAWARE",NA,"WOLFCAMP, EAST (GAS)","WOLFCAMP, EAST (GAS)","WOLFCAMP, EAST (GAS)",3121,"KB",3077,10742,10742,"GAS","ACTIVE",1,"1477462","COM","326190","1938-07-20","1967-04-01","V",NA,NA,NA,NA,NA,"1967-04-01","2022-10-01",600,"","",NA,NA,NA,NA,"","","","","",5224.5,62,21267,62,1680,62,31.347,62,NA,NA,NA,572259.09,2882094,91910,2395,31357.78,3.4336,3433.554,3798,107,NA,35495.33,0,437,0,437,0,NA,NA,NA,437,0,437,0,2.622,NA,NA,NA,33628,654,1,"PERMIAN BASIN","","NM",15,"22S",27,"NESE",NA,NA,NA,NA,NA,NA,NA,"HOLLY TRANSPORTATION, LLC","DCP OPERATING COMPANY, LP",NA,NA,32.3917389,-104.1722488,32.3920239,-104.1719273,577852.43944642,3584159.61518865,-104.193947682858,32.3974334270584,575806.778821414,3584775.28756585,TRUE
"2",30015202640000,"Carlsbad #2",1608.23833849319,"LOUISE FEE","002","LOUISE FEE","CONCHO OPERATING","CONOCOPHILLIPS","COG OPERATING LLC","COP","ESPERANZA","EDDY (NM)","DELAWARE","DELAWARE",NA,"DELAWARE","DELAWARE","DELAWARE",3083,"KB",3071,5331,5331,"OIL","ACTIVE",1,"103427713","COM","308218","1969-12-04","2003-11-18","V",5136,5163,27,NA,27,"2003-11-01","2022-11-01",217,"","",820,102,107,24,"PUMPING","2003-11-23","InitialPotentialTest","2003-11-23","InitialPotentialTest",10877.33,18,44018,18,4008,12,65.264,18,402.86,1630.3,148.44,322430.06,1078009,142762,315409,7551.09,1.9346,1934.581,3371,575,1670,5862.61,2020.27,10843.5,37479,4597,3857,401.61,1388.11,170.26,33943.67,129202,12410,7866,203.662,1257.17,4785.26,459.63,42048,5408,15680,"PERMIAN BASIN","","NM",10,"22S",27,"SWNW",NA,NA,NA,NA,5136,5163,27,"NAVAJO REFINING COMPANY, L.L.C.","DCP OPERATING COMPANY, LP",NA,NA,32.4090958,-104.1837769,32.4092253,-104.1835247,576753.467700757,3586075.36860915,-104.193947682858,32.3974334270584,575806.778821414,3584775.28756585,TRUE
"3",30015207840000,"Carlsbad #2",879.500441318544,"CALVANI COM","001","CALVANI COM","T AND DS LUBE DOCTORS LLC","T AND DS LUBE DOCTORS LLC","T AND DS LUBE DOCTORS LLC","","CARLSBAD","EDDY (NM)","DELAWARE","DELAWARE",NA,"ATOKA, SOUTH (GAS)","ATOKA, SOUTH (GAS)","ATOKA, SOUTH (GAS)",3102,"KB",3084,11765,11765,"GAS","ACTIVE",1,"1454729","COM","331536","1972-12-28","1973-06-01","V",NA,NA,NA,NA,NA,"1973-06-01","2022-10-01",511,"","",NA,NA,NA,NA,"","","","","",6836.17,27,40339,27,154,21,41.017,27,NA,NA,NA,329148.24,1946095,4799,4452,405520.94,1.9749,1974.889,1085,NA,NA,NA,NA,18366.17,110197,0,0,NA,NA,NA,32140.33,192842,0,217,192.842,NA,NA,NA,13188,NA,NA,"PERMIAN BASIN","","NM",9,"22S",27,"NESW",NA,NA,NA,NA,NA,NA,NA,"HOLLYFRONTIER REFINING & MARKETING LLC","DCP OPERATING COMPANY, LP",50,NA,32.4050484,-104.1965714,32.4053182,-104.1962905,575553.675949724,3585617.58202899,-104.193947682858,32.3974334270584,575806.778821414,3584775.28756585,TRUE
"4",30015210960000,"mid-south #3",372.28134747868,"ETTER COM","001","ETTER COM","READ & STEVENS","READ & STEVENS","READ & STEVENS INC","","CARLSBAD","EDDY (NM)","DELAWARE","DELAWARE",NA,"STRAWN, SOUTH (GAS)","STRAWN, SOUTH (GAS)","STRAWN, SOUTH (GAS)",3152,"KB",3138,12200,12200,"GAS","ACTIVE",1,"1439790","COM","009524","1974-02-14","1989-12-05","V",10486,10558,72,NA,72,"1990-02-01","2022-11-01",372,"","",NA,NA,NA,NA,"","","","","",1524.17,56,8653,56,126,1,9.145,56,21.17,120.18,1.75,79594.2,461930,2606,19391,177256.33,0.4776,477.566,207,NA,NA,NA,81924.05,5811.67,32584,381,3419,80.72,452.56,5.29,10516.17,59419,613,4572,63.097,146.06,825.26,8.51,1790,NA,NA,"PERMIAN BASIN","","NM",33,"22S",27,"NESW",NA,NA,NA,NA,NA,NA,NA,"PLAINS MARKETING L.P.","DCP OPERATING COMPANY, LP",53.45,NA,32.3468208,-104.1972122,32.3468671,-104.1972971,575541.844961902,3579162.382666,-104.195385700744,32.3438419390585,575716.203505018,3578833.45638228,TRUE
"5",30015215990000,"South #3 (State)",1741.88804629632,"FOREHAND","001","FOREHAND","RAY WESTALL","RAY WESTALL OPERATING","RAY WESTALL OPERATING, INC.","","FOREHAND RANCH","EDDY (NM)","DELAWARE","DELAWARE",NA,"BONE SPRING","BONE SPRING","BONE SPRING",3146,"KB",3127,12353,12353,"OIL","ACTIVE",1,"1449198","COM","316171","1975-09-13","1990-02-18","V",8642,8857,215,NA,215,"1991-11-01","2022-11-01",346,"","",NA,NA,NA,NA,"","","","","",268,329,5,368,268,329,1.608,329,1.25,0.02,1.25,17057.5,27,17053,240987,1.58,0.1023,102.345,2,68,1261,29.41,0,256,0,256,0,1.19,0,1.19,388,0,388,505,2.328,1.8,0,1.8,27,808,4447,"PERMIAN BASIN","","NM",15,"23S",27,"NESW",NA,NA,NA,NA,NA,NA,NA,"SUNOCO PARTNERS MARKETING & TERMINALS L.P","",NA,NA,32.3033371,-104.1802444,32.3033406,-104.1800498,577175.431376121,3574354.17899577,-104.169152806101,32.290761317615,578230.476659929,3572968.15828346,TRUE
"6",30015217860000,"Malaga, churcjh",666.968877129249,"CNB COM","001","CNB COM","CONCHO OPERATING","CONOCOPHILLIPS","COG OPERATING LLC","COP","MALAGA","EDDY (NM)","DELAWARE","DELAWARE",NA,"MORROW (GAS)","MORROW (GAS)","MULTIPLE",3018,"KB",2996,12834,12834,"GAS","ACTIVE",2,"1469225,113867762","MULTIPLE","MULTIPLE","1976-04-23","1977-03-01","V",NA,NA,NA,NA,NA,"1977-03-01","2022-11-01",476,"","",NA,NA,NA,NA,"","","","","",52195,132,313170,132,109,5,313.17,132,NA,NA,NA,618290.25,3705991,625,18040,5929585.6,3.7097,3709.741,438,NA,209,NA,NA,48780.67,292030,109,5176,NA,NA,NA,51872.67,310582,109,5861,311.236,NA,NA,NA,4365,5,1828,"PERMIAN BASIN","","NM",11,"24S",28,"NWSW",NA,NA,NA,NA,12266,12344,78,"MULTIPLE","MULTIPLE",NA,NA,32.2302818,-104.0648193,32.2307163,-104.0643092,588113.027721567,3566344.68596019,-104.067871176949,32.2248533179643,587830.689105934,3565740.42410538,TRUE
"7",30015218150000,"Carlsbad #1",2467.0478407105,"MESA GRANDE","001","MESA GRANDE","KAISER FRANCIS","GBK CORPORATION","KAISER-FRANCIS OIL CO","","CARLSBAD","EDDY (NM)","DELAWARE","DELAWARE",NA,"MORROW, SOUTH (PRO GAS)","MORROW, SOUTH (PRO GAS)","MORROW, SOUTH (PRO GAS)",3168,"KB",3152,11550,11550,"GAS","ACTIVE",1,"1439804","COM","005459","1976-05-25","1977-01-01","V",11107,11246,139,NA,139,"1977-01-01","2022-11-01",471,"","",NA,NA,NA,NA,"","","","","",3231,1,19386,1,8,426,19.386,1,23.24,139.47,0.06,109830.35,658676,51,5085,12915215.69,0.659,658.982,677,NA,23,NA,NA,15181.5,91089,0,0,109.22,655.32,0,23182.17,139093,0,0,139.093,166.78,1000.67,0,28439,5,417,"PERMIAN BASIN","","NM",11,"22S",26,"SENW",NA,NA,NA,NA,11107,11246,139,"","RELIANCE ENERGY, INC.",NA,NA,32.4091721,-104.2657776,32.4094909,-104.2655848,569042.289830671,3586027.90491952,-104.241353611307,32.417297984048,571332.652202454,3586944.72837814,TRUE
"8",30015218550000,"South #3 (State)",1717.6140156224,"FOREHAND","002","FOREHAND","RAY WESTALL","RAY WESTALL OPERATING","RAY WESTALL OPERATING, INC.","","FOREHAND RANCH","EDDY (NM)","DELAWARE","DELAWARE",NA,"DELAWARE","DELAWARE","MULTIPLE",3137,"KB",3127,5610,5610,"OIL","ACTIVE",2,"1449199,130927426","MULTIPLE","MULTIPLE","1976-07-08","1976-10-01","V",NA,NA,NA,NA,NA,"1976-10-01","2022-11-01",454,"","",NA,NA,NA,NA,"","","","","",843,1,31,178,843,1,5.058,1,NA,NA,NA,42836.88,1673,42558,423476,39.31,0.257,257.021,NA,67,1261,NA,0,3180,0,3180,6622,NA,NA,NA,6573,0,6573,13072,39.438,NA,NA,NA,NA,804,4441,"PERMIAN BASIN","","NM",15,"23S",27,"NESW",NA,NA,NA,NA,NA,NA,NA,"MULTIPLE","MULTIPLE",NA,NA,32.3030624,-104.1802444,32.3030657,-104.1800503,577175.664218823,3574323.72776555,-104.169152806101,32.290761317615,578230.476659929,3572968.15828346,TRUE
"9",30015223410000,"mid-south #2 (BLM)",1601.96740597381,"C.R. LOPEZ C","001","C.R. LOPEZ C","EASTLAND OIL","EASTLAND OIL","EASTLAND OIL CO","","HERRADURA BEND","EDDY (NM)","DELAWARE","DELAWARE",NA,"DELAWARE","DELAWARE","DELAWARE",3064,"KB EST",3050,2460,2460,"OIL","ACTIVE",1,"1444391","COM","003909","1977-11-14","1979-01-01","V",NA,NA,NA,NA,NA,"1979-01-01","2022-11-01",527,"","",NA,NA,NA,NA,"","","","","",1619.17,2,25,366,1615,2,9.715,2,NA,NA,NA,92365.63,10543,90607,101458,116.36,0.5542,554.185,1,53,256,18.87,15.48,7616,150,7591,2370,NA,NA,NA,12860,300,12810,4904,77.16,NA,NA,NA,12,918,5049,"PERMIAN BASIN","","NM",32,"22S",28,"NENW",NA,NA,NA,NA,NA,NA,NA,"NAVAJO REFINING COMPANY, L.L.C.","",42.85,NA,32.3545456,-104.1125107,32.3546852,-104.1125484,583505.368033959,3580081.61999354,-104.126102741799,32.3458448994836,582234.299210755,3579106.58993427,TRUE
"10",30015223530000,"Malaga, churcjh",2241.07782291986,"WOODS 9 COM","001","WOODS 9 COM","MEWBOURNE OIL","MEWBOURNE OIL","MEWBOURNE OIL CO","","PURPLE SAGE","EDDY (NM)","DELAWARE","DELAWARE",NA,"WOLFCAMP, SOUTH (GAS)","WOLFCAMP, SOUTH (GAS)","MULTIPLE",3045,"KB",3024,12752,12752,"GAS","ACTIVE",3,"1465919,1466351,129775741","MULTIPLE","MULTIPLE","1977-11-21","1979-01-01","V",NA,NA,NA,NA,NA,"1979-01-01","2022-10-01",496,"","",140,NA,39,24,"FLOWING","1995-05-11","InitialPotentialTest","1995-05-11","InitialPotentialTest",15214.17,20,89125,20,360,20,91.285,20,NA,NA,NA,233274.5,1383315,2722,108077,508198.02,1.3996,1399.647,480,NA,NA,NA,NA,4023.17,24139,0,5,NA,NA,NA,6449.67,38698,0,8,38.698,NA,NA,NA,5450,94,276,"PERMIAN BASIN","","NM",9,"24S",28,"NWSE",NA,NA,NA,NA,10250,10684,434,"MULTIPLE","MULTIPLE",NA,NA,32.2308502,-104.0905838,32.2312677,-104.0901896,585684.86494459,3566386.8515777,-104.067871176949,32.2248533179643,587830.689105934,3565740.42410538,TRUE
