API14,Well Name,Well Number,Lease Name,Operator Alias (Legacy),Operator Company Name,Operator (Reported),Operator Ticker,Field,County/Parish,DI Basin,DI Play,DI Subplay,Formation at Total Depth,Target Formation,Producing Reservoir,Elevation,Elevation Type,Ground Elevation,Measured Depth (TD),True Vertical Depth,Production Type,Well Status,Producing Entity Count,Producing Entity ID,Producing Entity Type,Producing Entity Lease Number,Spud Date,Completion Date,Drill Type,Upper Perforation,Lower Perforation,Gross Perforated Interval,Horizontal Length,DI Lateral Length,First Prod Date,Last Prod Date,Months Produced,Start Date (First Treatment Job),End Date (First Treatment Job),First Test Gas Volume,First Test Oil Volume,First Test Water Volume,First Test Hours Tested,First Test Production Method,First Well Test Date,First Reported Test Type,Last Well Test Date,Last Test Type,Peak BOE,Peak BOE Month No.,Peak Gas,Peak Gas Month No.,Peak Oil,Peak Oil Month No.,Peak MMCFGE,Peak MMCFGE Month No.,Peak BOE per perforated Ft,Peak Gas per perforated Ft,Peak Oil per perforated Ft,Cum BOE,Cum Gas,Cum Oil,Cum Water,Cum GOR,Cum BCFGE,Cum MMCFGE,Latest Gas,Latest Oil,Latest Water,Latest GOR,2nd Month GOR,First 6 BOE,First 6 Gas,First 6 Oil,First 6 Water,First 6 BOE per perforated Ft,First 6 Gas per perforated Ft,First 6 Oil per perforated Ft,First 12 BOE,First 12 Gas,First 12 Oil,First 12 Water,First 12 MMCFGE,First 12 BOE per perforated Ft,First 12 Gas per perforated Ft,First 12 Oil per perforated Ft,Last 12 Gas,Last 12 Oil,Last 12 Water,AAPG Geologic Province,Play Assessment Basin,State,Section,Township,Range,Quarter Quarter,District,Abstract,Block,Survey,Shallowest Perforation,Deepest Perforation,Gross Perforated Interval (Multiple Prod Entities),Oil Gatherer,Gas Gatherer,Oil Gravity,Gas Gravity,Surface Hole Latitude (WGS84),Surface Hole Longitude (WGS84),Bottom Hole Latitude (WGS84),Bottom Hole Longitude (WGS84)
30015495940100,ROADRUNNER FEDERAL COM 23 ILL,005H,ROADRUNNER FEDERAL COM 23 ILL,STRATA PROD,STRATA PRODUCTION,STRATA PRODUCTION CO,,FORTY NINER RIDGE,EDDY (NM),DELAWARE,DELAWARE,,,,DELAWARE,3291.00,KB EST,3268.00,12401.00,,OIL,ACTIVE,1,131044833,COM,332907,2022-07-30,2022-10-01,H,,,,4885.73,4635.73,2022-10-01,2022-11-01,2,,,,,,,,,,,,27294.17,2,23509.00,2,23376.00,2,163.7650,2,5.89,5.07,5.04,31354.00,28128.00,26666.00,124958.00,1054.83,0.1881,188.1240,23509.00,23376.00,88824.00,1005.69,1005.69,,,,,,,,,,,,,,,,,,,PERMIAN BASIN,,NM,23,23S,30E,NESE,,,,,,,,HEART RIVER LOGISTICS LLC,"DUKE ENERGY FIELD SERVICES SOUTHWEST, INC.",,,32.2886444,-103.8440374,32.2897944,-103.8597887
30015495920100,ROCK SPUR 27 W2DM FEDERAL COM,001H,ROCK SPUR 27 W2DM FEDERAL COM,MEWBOURNE OIL,MEWBOURNE OIL,MEWBOURNE OIL CO,,PURPLE SAGE,EDDY (NM),DELAWARE,DELAWARE,,,,WOLFCAMP (GAS),3033.00,KB EST,3010.00,15380.00,,GAS,ACTIVE,1,131044818,COM,332688,2022-08-10,2022-10-01,H,,,,4343.49,4093.49,2022-10-01,2022-10-01,1,,,,,,,,,,,,88.33,1,392.00,1,23.00,1,0.5300,1,0.02,0.10,0.01,88.33,392.00,23.00,2164.00,17043.48,0.0005,0.5300,392.00,23.00,2164.00,17043.48,,,,,,,,,,,,,,,,,,,,PERMIAN BASIN,,NM,27,24S,28E,NWNW,,,,,,,,ORYX DELAWARE OIL TRANSPORT LLC,SENDERO CARLSBAD MIDSTREAM LLC,,,32.1945007,-104.0805576,32.1826554,-104.0823112
30015494520000,RAY STATE COM,134H,RAY STATE COM,MATADOR,MATADOR RESOURCES,MATADOR PRODUCTION COMPANY,MTDR,CULEBRA BLUFF,EDDY (NM),DELAWARE,DELAWARE,,,,"BONE SPRING, SOUTH",2994.50,KB,2966.00,19610.00,,OIL,ACTIVE,1,131025989,COM,326434,2022-05-23,2022-10-01,H,,,,6507.71,6257.71,2022-10-01,2022-10-01,1,,,,,,,,,,,,72832.00,1,97056.00,1,56656.00,1,436.9920,1,11.64,15.51,9.05,72832.00,97056.00,56656.00,30808.00,1713.08,0.4370,436.9920,97056.00,56656.00,30808.00,1713.08,,,,,,,,,,,,,,,,,,,,PERMIAN BASIN,,NM,01,24S,28E,NENE,,,,,,,,"PLAINS MARKETING, L.P.",BP AMERICA INC,75.000000,,32.2518215,-104.0336790,32.2697087,-104.0337566
30015494170000,OVATION FEDERAL COM 1318,135H,OVATION FEDERAL COM 1318,"NOVO OIL & GAS NORTHERN DELAWARE, LLC",NOVO OIL & GAS,"NOVO OIL & GAS NORTHERN DELAWARE, LLC",,CULEBRA BLUFF,EDDY (NM),DELAWARE,DELAWARE,,,,"BONE SPRING, SOUTH",3004.00,KB EST,2981.00,18138.00,,OIL,COMPLETED,1,131024962,COM,331711,2022-04-15,2022-06-20,H,,,,11076.58,10826.58,2022-11-01,2022-11-01,1,2022-06-09,2022-06-20,,,,,,,,,,22592.83,1,28109.00,1,17908.00,1,135.5570,1,2.09,2.60,1.65,22592.83,28109.00,17908.00,97866.00,1569.63,0.1356,135.5570,28109.00,17908.00,97866.00,1569.63,,,,,,,,,,,,,,,,,,,,PERMIAN BASIN,,NM,14,23S,28E,SENE,,,,,,,,ORYX ENERGY CO,CRESTWOOD NEW MEXICO PIPELINE LLC,49.000000,,32.3083938,-104.0509842,32.3077174,-104.0151437
30015494150000,VALKYRIE 12 WXY FEDERAL COM,011H,VALKYRIE 12 WXY FEDERAL COM,MARATHON OIL PERMIAN LLC,MARATHON OIL,MARATHON OIL PERMIAN LLC,MRO,PURPLE SAGE,EDDY (NM),DELAWARE,DELAWARE,,,,WOLFCAMP (GAS),3021.00,KB EST,2998.00,20224.00,,GAS,ACTIVE,1,131023898,COM,332722,2022-06-13,2022-09-12,H,,,,9750.40,9500.40,2022-09-01,2022-09-01,1,2022-08-31,2022-09-12,,,,,,,,,,10793.00,1,17100.00,1,7943.00,1,64.7580,1,1.14,1.80,0.84,10793.00,17100.00,7943.00,75193.00,2152.84,0.0648,64.7580,17100.00,7943.00,75193.00,2152.84,,,,,,,,,,,,,,,,,,,,PERMIAN BASIN,,NM,12,23S,28E,NWSW,,,,,,,,TRAFIGURA AG,SENDERO CARLSBAD MIDSTREAM LLC,,,32.3172354,-104.0467080,32.3137655,-104.0154139
30015494140000,VALKYRIE 12 WXY FEDERAL COM,007H,VALKYRIE 12 WXY FEDERAL COM,MARATHON OIL PERMIAN LLC,MARATHON OIL,MARATHON OIL PERMIAN LLC,MRO,PURPLE SAGE,EDDY (NM),DELAWARE,DELAWARE,,,,WOLFCAMP (GAS),3021.00,KB EST,2998.00,20035.00,,GAS,ACTIVE,1,131023895,COM,332722,2022-06-15,2022-09-12,H,,,,9682.52,9432.52,2022-09-01,2022-09-01,1,2022-08-31,2022-09-12,,,,,,,,,,10792.00,1,16986.00,1,7961.00,1,64.7520,1,1.14,1.80,0.84,10792.00,16986.00,7961.00,58579.00,2133.65,0.0648,64.7520,16986.00,7961.00,58579.00,2133.65,,,,,,,,,,,,,,,,,,,,PERMIAN BASIN,,NM,12,23S,28E,NWSW,,,,,,,,TRAFIGURA AG,SENDERO CARLSBAD MIDSTREAM LLC,,,32.3173125,-104.0467418,32.3173940,-104.0154013
30015494130000,POKER LAKE UNIT 26 BD,104H,POKER LAKE UNIT 26 BD,XTO PERMIAN OPERATING LLC,EXXON MOBIL,XTO PERMIAN OPERATING LLC.,XOM,PURPLE SAGE,EDDY (NM),DELAWARE,DELAWARE,,,,WOLFCAMP (GAS),3335.00,KB EST,3312.00,18988.00,,GAS,ACTIVE,1,131023868,COM,329859,2022-06-14,2022-09-16,H,,,,2915.07,2665.07,2022-11-01,2022-11-01,1,2022-09-05,2022-09-16,,,,,,,,,,4972.00,1,11226.00,1,3101.00,1,29.8320,1,1.87,4.21,1.16,4972.00,11226.00,3101.00,15591.00,3620.12,0.0298,29.8320,11226.00,3101.00,15591.00,3620.12,,,,,,,,,,,,,,,,,,,,PERMIAN BASIN,,NM,26,25S,30E,SENW,,,,,,,,PLAINS MARKETING L.P.,"XTO ENERGY, INC",,,32.1023936,-103.8539855,32.0945219,-103.8522276
30015493650000,ROCK SPUR 27 W2DM FEDERAL COM,003H,ROCK SPUR 27 W2DM FEDERAL COM,MEWBOURNE OIL,MEWBOURNE OIL,MEWBOURNE OIL CO,,PURPLE SAGE,EDDY (NM),DELAWARE,DELAWARE,,,,WOLFCAMP (GAS),3033.00,KB EST,3010.00,15252.00,,GAS,ACTIVE,1,131019884,COM,332688,2022-07-13,2022-10-24,H,,,,4279.54,4029.54,2022-10-01,2022-10-01,1,2022-10-15,2022-10-24,,,,,,,,,,211.33,1,302.00,1,161.00,1,1.2680,1,0.05,0.07,0.04,211.33,302.00,161.00,3008.00,1875.78,0.0013,1.2680,302.00,161.00,3008.00,1875.78,,,,,,,,,,,,,,,,,,,,PERMIAN BASIN,,NM,27,24S,28E,NWNW,,,,,,,,ORYX DELAWARE OIL TRANSPORT LLC,SENDERO CARLSBAD MIDSTREAM LLC,,,32.1944128,-104.0803935,32.1826512,-104.0801778
30015493640000,FNR FEDERAL UNIT,014H,FNR FEDERAL UNIT,MEWBOURNE OIL,MEWBOURNE OIL,MEWBOURNE OIL CO,,FORTY NINER RIDGE,EDDY (NM),DELAWARE,DELAWARE,,,,BONE SPRING,3168.00,KB EST,3145.00,21030.00,,OIL,ACTIVE,1,131019825,COM,317545,2022-03-20,2022-05-01,H,,,,10176.23,9926.23,2022-05-01,2022-09-01,5,,,,,,,,,,,,76804.67,2,94744.00,2,61014.00,2,460.8280,2,7.74,9.54,6.15,232398.33,304274.00,181686.00,264981.00,1674.72,1.3944,1394.3900,52502.00,24087.00,38079.00,2179.68,1552.82,,,,,,,,,,,,,,,,,,,PERMIAN BASIN,,NM,17,23S,30E,NENW,,,,,,,,ORYX DELAWARE OIL TRANSPORT LLC,ENTERPRISE FIELD SERVICES L.L.C.,,,32.3116723,-103.9076728,32.2837024,-103.9079046
30015493360000,JACK SLEEPER FEDERAL COM,222H,JACK SLEEPER FEDERAL COM,MATADOR,MATADOR RESOURCES,MATADOR PRODUCTION COMPANY,MTDR,PURPLE SAGE,EDDY (NM),DELAWARE,DELAWARE,,,,WOLFCAMP (GAS),3044.50,KB,3016.00,20798.00,,GAS,ACTIVE,1,131019008,COM,332660,2022-03-28,2022-06-20,H,,,,11358.74,11108.74,2022-07-01,2022-10-01,4,2022-06-01,2022-06-20,,,,,,,,,,36420.17,2,149593.00,2,11488.00,2,218.5210,2,3.28,13.47,1.03,110653.84,470999.00,32154.00,330250.00,14648.22,0.6639,663.9230,124104.00,6688.00,70783.00,18556.22,13021.67,,,,,,,,,,,,,,,,,,,PERMIAN BASIN,,NM,04,23S,28E,SESW,,,,,,,,"PLAINS MARKETING, L.P.",BP AMERICA INC,,,32.3299812,-104.0954141,32.2987959,-104.0936623
