API14,Well Name,Well Number,Lease Name,Operator Alias (Legacy),Operator Company Name,Operator (Reported),Operator Ticker,Field,County/Parish,DI Basin,DI Play,DI Subplay,Formation at Total Depth,Target Formation,Producing Reservoir,Elevation,Elevation Type,Ground Elevation,Measured Depth (TD),True Vertical Depth,Production Type,Well Status,Producing Entity Count,Producing Entity ID,Producing Entity Type,Producing Entity Lease Number,Spud Date,Completion Date,Drill Type,Upper Perforation,Lower Perforation,Gross Perforated Interval,Horizontal Length,DI Lateral Length,First Prod Date,Last Prod Date,Months Produced,Start Date (First Treatment Job),End Date (First Treatment Job),First Test Gas Volume,First Test Oil Volume,First Test Water Volume,First Test Hours Tested,First Test Production Method,First Well Test Date,First Reported Test Type,Last Well Test Date,Last Test Type,Peak BOE,Peak BOE Month No.,Peak Gas,Peak Gas Month No.,Peak Oil,Peak Oil Month No.,Peak MMCFGE,Peak MMCFGE Month No.,Peak BOE per perforated Ft,Peak Gas per perforated Ft,Peak Oil per perforated Ft,Cum BOE,Cum Gas,Cum Oil,Cum Water,Cum GOR,Cum BCFGE,Cum MMCFGE,Latest Gas,Latest Oil,Latest Water,Latest GOR,2nd Month GOR,First 6 BOE,First 6 Gas,First 6 Oil,First 6 Water,First 6 BOE per perforated Ft,First 6 Gas per perforated Ft,First 6 Oil per perforated Ft,First 12 BOE,First 12 Gas,First 12 Oil,First 12 Water,First 12 MMCFGE,First 12 BOE per perforated Ft,First 12 Gas per perforated Ft,First 12 Oil per perforated Ft,Last 12 Gas,Last 12 Oil,Last 12 Water,AAPG Geologic Province,Play Assessment Basin,State,Section,Township,Range,Quarter Quarter,District,Abstract,Block,Survey,Shallowest Perforation,Deepest Perforation,Gross Perforated Interval (Multiple Prod Entities),Oil Gatherer,Gas Gatherer,Oil Gravity,Gas Gravity,Surface Hole Latitude (WGS84),Surface Hole Longitude (WGS84),Bottom Hole Latitude (WGS84),Bottom Hole Longitude (WGS84)
30015498090100,SALT FLAT CC 20 29 FEDERAL COM,011H,SALT FLAT CC 20 29 FEDERAL COM,OCCIDENTAL PETR,OCCIDENTAL PETROLEUM,OXY USA INC,OXY,PIERCE CROSSING,EDDY (NM),DELAWARE,DELAWARE,,,,BONE SPRING,2960.60,KB,2935.00,18712.00,7666.00,OIL,ACTIVE,1,131057337,COM,321601,2022-09-07,2022-11-21,H,,,,10931.06,10681.06,2022-12-01,2022-12-01,1,2022-11-13,2022-11-21,,,,,,,,,,32465.50,1,43317.00,1,25246.00,1,194.7930,1,3.04,4.06,2.36,32465.50,43317.00,25246.00,,1715.80,0.1948,194.7930,43317.00,25246.00,,1715.80,,,,,,,,,,,,,,,,,,,,PERMIAN BASIN,,NM,17,24S,29E,SESW,,,,,8307.00000,18532.00000,10225.00,CENTURION PIPELINE L.P.,ENTERPRISE FIELD SERVICES L.L.C.,,,32.2115300,-104.0092890,32.1816559,-104.0130613
30015497220000,YARDBIRDS 34 W0PA FEE,001H,YARDBIRDS 34 W0PA FEE,MEWBOURNE OIL,MEWBOURNE OIL,MEWBOURNE OIL CO,,PURPLE SAGE,EDDY (NM),DELAWARE,DELAWARE,,,,WOLFCAMP (GAS),3041.00,KB EST,3018.00,14615.00,,GAS,ACTIVE,1,131052208,COM,333068,2022-09-21,2022-12-01,H,,,,5358.97,5108.97,2022-12-01,2022-12-01,1,,,,,,,,,,,,99.00,1,60.00,1,89.00,1,0.5940,1,0.02,0.01,0.02,99.00,60.00,89.00,2561.00,674.16,0.0006,0.5940,60.00,89.00,2561.00,674.16,,,,,,,,,,,,,,,,,,,,PERMIAN BASIN,,NM,03,24S,28E,NENE,,,,,,,,ORYX DELAWARE OIL TRANSPORT LLC,SENDERO CARLSBAD MIDSTREAM LLC,,,32.2536870,-104.0693780,32.2683159,-104.0673519
30015497210000,YARDBIRDS 34 W2PA FEE,002H,YARDBIRDS 34 W2PA FEE,MEWBOURNE OIL,MEWBOURNE OIL,MEWBOURNE OIL CO,,PURPLE SAGE,EDDY (NM),DELAWARE,DELAWARE,,,,WOLFCAMP (GAS),3041.00,KB EST,3018.00,15570.00,,GAS,ACTIVE,1,131052186,COM,333067,2022-09-22,2022-12-01,H,,,,,,2022-12-01,2022-12-01,1,,,,,,,,,,,,255.17,1,1219.00,1,52.00,1,1.5310,1,,,,255.17,1219.00,52.00,1989.00,23442.31,0.0015,1.5310,1219.00,52.00,1989.00,23442.31,,,,,,,,,,,,,,,,,,,,PERMIAN BASIN,,NM,34,24S,28E,NENE,,,,,,,,ORYX DELAWARE OIL TRANSPORT LLC,SENDERO CARLSBAD MIDSTREAM LLC,,,32.1812084,-104.0689239,,
30015497200000,YARDBIRDS 34 W2PA FEE,001H,YARDBIRDS 34 W2PA FEE,MEWBOURNE OIL,MEWBOURNE OIL,MEWBOURNE OIL CO,,PURPLE SAGE,EDDY (NM),DELAWARE,DELAWARE,,,,WOLFCAMP (GAS),3041.00,KB EST,3018.00,15520.00,,GAS,ACTIVE,1,131052191,COM,333067,2022-10-13,2022-12-01,H,,,,5369.93,5119.93,2022-12-01,2022-12-01,1,,,,,,,,,,,,55.83,1,113.00,1,37.00,1,0.3350,1,0.01,0.02,0.01,55.83,113.00,37.00,2520.00,3054.05,0.0003,0.3350,113.00,37.00,2520.00,3054.05,,,,,,,,,,,,,,,,,,,,PERMIAN BASIN,,NM,03,24S,28E,NENE,,,,,,,,ORYX DELAWARE OIL TRANSPORT LLC,SENDERO CARLSBAD MIDSTREAM LLC,,,32.2536870,-104.0693130,32.2683151,-104.0669960
30015496710100,CATALINA 25 30 STATE COM,301H,CATALINA 25 30 STATE COM,"TASCOSA ENERGY PARTNERS, L.L.C","TASCOSA ENERGY PARTNERS, L.L.C","TASCOSA ENERGY PARTNERS, L.L.C",,AVALON,EDDY (NM),DELAWARE,DELAWARE,,,,BONE SPRING,3355.00,KB EST,3332.00,,,OIL,COMPLETED,1,131049216,COM,331801,2022-09-01,2022-11-23,U,,,,874.57,,2022-12-01,2022-12-01,1,2022-11-15,2022-11-23,,,,,,,,,,14247.33,1,38396.00,1,7848.00,1,85.4840,1,,,,14247.33,38396.00,7848.00,25657.00,4892.46,0.0855,85.4840,38396.00,7848.00,25657.00,4892.46,,,,,,,,,,,,,,,,,,,,PERMIAN BASIN,,NM,25,20S,26E,SWNW,,,,,,,,HOLLYFRONTIER REFINING & MARKETING LLC,ENTERPRISE FIELD SERVICES L.L.C.,47.800000,,32.5480250,-104.3454290,32.5503644,-104.3460814
30015496700100,CATALINA 25 30 STATE COM,202H,CATALINA 25 30 STATE COM,"TASCOSA ENERGY PARTNERS, L.L.C","TASCOSA ENERGY PARTNERS, L.L.C","TASCOSA ENERGY PARTNERS, L.L.C",,AVALON,EDDY (NM),DELAWARE,DELAWARE,,,,BONE SPRING,3355.00,KB EST,3332.00,,,OIL,COMPLETED,1,131049222,COM,331801,2022-08-28,2022-11-23,U,,,,726.90,,2022-12-01,2022-12-01,1,2022-11-17,2022-11-23,,,,,,,,,,11432.17,1,34555.00,1,5673.00,1,68.5930,1,,,,11432.17,34555.00,5673.00,39559.00,6091.13,0.0686,68.5930,34555.00,5673.00,39559.00,6091.13,,,,,,,,,,,,,,,,,,,,PERMIAN BASIN,,NM,25,20S,26E,SWNW,,,,,,,,HOLLYFRONTIER REFINING & MARKETING LLC,ENTERPRISE FIELD SERVICES L.L.C.,47.800000,,32.5479420,-104.3454310,32.5460214,-104.3460808
30015496010000,TONY LA RUSSA 0310 STATE COM,226H,TONY LA RUSSA 0310 STATE COM,MATADOR,MATADOR RESOURCES,MATADOR PRODUCTION COMPANY,MTDR,PURPLE SAGE,EDDY (NM),DELAWARE,DELAWARE,,,,WOLFCAMP (GAS),3203.00,KB EST,3180.00,20152.00,,GAS,ACTIVE,1,131044815,COM,332813,2022-07-13,2022-11-02,H,,,,10118.68,9868.68,2022-11-01,2022-12-01,2,2022-10-22,2022-11-02,,,,,,,,,,38713.33,2,123494.00,2,18131.00,2,232.2800,2,3.92,12.51,1.84,50860.83,162197.00,23828.00,184152.00,6806.99,0.3052,305.1650,123494.00,18131.00,123227.00,6811.21,6811.21,,,,,,,,,,,,,,,,,,,PERMIAN BASIN,,NM,03,24S,27E,NWNW,,,,,,,,"PLAINS MARKETING, L.P.",BP AMERICA INC,,,32.2532840,-104.1827560,32.2255429,-104.1804100
30015495940100,ROADRUNNER FEDERAL COM 23 ILL,005H,ROADRUNNER FEDERAL COM 23 ILL,STRATA PROD,STRATA PRODUCTION,STRATA PRODUCTION CO,,FORTY NINER RIDGE,EDDY (NM),DELAWARE,DELAWARE,,,,DELAWARE,3291.00,KB EST,3268.00,12401.00,,OIL,ACTIVE,1,131044833,COM,332907,2022-07-30,2022-10-01,H,,,,4885.86,4635.86,2022-10-01,2022-12-01,3,,,,,,,,,,,,27294.17,2,28720.00,3,23376.00,2,163.7650,2,5.89,6.20,5.04,57167.67,56848.00,47693.00,212763.00,1191.96,0.3430,343.0060,28720.00,21027.00,87805.00,1365.86,1005.69,,,,,,,,,,,,,,,,,,,PERMIAN BASIN,,NM,23,23S,30E,NESE,,,,,,,,HEART RIVER LOGISTICS LLC,"DUKE ENERGY FIELD SERVICES SOUTHWEST, INC.",,,32.2886440,-103.8440370,32.2897944,-103.8597887
30015495920100,ROCK SPUR 27 W2DM FEDERAL COM,001H,ROCK SPUR 27 W2DM FEDERAL COM,MEWBOURNE OIL,MEWBOURNE OIL,MEWBOURNE OIL CO,,PURPLE SAGE,EDDY (NM),DELAWARE,DELAWARE,,,,WOLFCAMP (GAS),3033.00,KB EST,3010.00,15380.00,,GAS,ACTIVE,1,131044818,COM,332688,2022-08-10,2022-10-01,H,,,,4343.58,4093.58,2022-10-01,2022-12-01,3,,,,,,,,,,,,28539.00,2,106614.00,2,10770.00,2,171.2340,2,6.97,26.04,2.63,51036.66,190132.00,19348.00,67643.00,9826.96,0.3062,306.2200,83126.00,8555.00,29853.00,9716.66,9899.16,,,,,,,,,,,,,,,,,,,PERMIAN BASIN,,NM,27,24S,28E,NWNW,,,,,,,,ORYX DELAWARE OIL TRANSPORT LLC,SENDERO CARLSBAD MIDSTREAM LLC,,,32.1945010,-104.0805580,32.1826554,-104.0823112
30015495910100,FORTY NINER RIDGE UNIT FEDERAL COM 22 23,015H,FORTY NINER RIDGE UNIT FEDERAL COM 22 23,STRATA PROD,STRATA PRODUCTION,STRATA PRODUCTION CO,,FORTY NINER RIDGE,EDDY (NM),DELAWARE,DELAWARE,,,,DELAWARE,3243.00,KB EST,3220.00,13372.00,,OIL,ACTIVE,1,131044808,COM,332904,2022-10-01,2022-12-01,H,,,,6190.31,5940.31,2022-12-01,2022-12-01,1,,,,,,,,,,,,14849.83,1,2921.00,1,14363.00,1,89.0990,1,2.50,0.49,2.42,14849.83,2921.00,14363.00,80121.00,203.37,0.0891,89.0990,2921.00,14363.00,80121.00,203.37,,,,,,,,,,,,,,,,,,,,PERMIAN BASIN,,NM,22,23S,30E,NESE,,,,,,,,HEART RIVER LOGISTICS LLC,ENTERPRISE FIELD SERVICES L.L.C.,,,32.2889730,-103.8630550,32.2881396,-103.8430484
